,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
699,9000,8.94,36,14,285.95,9000,12.42,1
700,19500,17.06,60,1,485.26,19500,16.2,0
701,2000,11.71,36,1,66.16,2000,21.56,0
702,9600,13.43,60,7,220.55,9600,14.37,1
703,15850,16.35,36,1,559.97,15850,22.84,0
704,5900,10.71,36,1,192.35,5900,16.24,1
705,25000,10.75,36,2,815.52,25000,15.7,1
706,20000,13.72,36,1,680.84,20000,6.04,1
707,10000,16.49,60,5,245.8,10000,2.36,0
708,4000,7.88,36,1,125.13,4000,12.3,1
709,20000,6.91,60,5,248.47,12575,4.44,1
710,18000,11.03,36,12,589.56,18000,6.15,1
711,3000,16.89,36,11,106.8,3000,8.03,0
712,5000,14.65,36,13,172.48,5000,11.3,1
713,9600,14.11,36,4,328.6,9600,12.72,1
714,3500,8.9,36,1,111.14,3500,15.21,0
715,1800,11.49,60,13,39.58,1800,16.44,0
716,25000,12.98,60,4,342.85,15075,4.16,1
717,3500,6.92,36,1,107.95,3500,13.19,1
718,3000,14.26,36,7,102.92,3000,12.21,1
719,35000,17.49,60,3,879.09,35000,6.2,0
720,6000,15.58,60,11,144.58,6000,11.22,1
721,14825,23.52,60,1,422.37,14825,23.68,0
722,1600,7.88,36,11,50.05,1600,19.82,0
723,1500,12.18,36,14,49.95,1500,14.4,0
724,4800,16.29,36,1,169.45,4800,24.18,0
725,7200,7.29,36,2,223.28,7200,23.19,1
726,20000,15.57,60,1,356.54,14800,13.97,0
727,15000,10.16,36,10,485.14,15000,7.87,0
728,5000,7.43,36,14,155.38,5000,3.72,1
729,4500,7.66,36,4,140.31,4500,1.47,0
730,9000,17.14,60,1,224.36,9000,20.16,0
731,10800,14.59,36,14,372.23,10800,1.96,1
732,26025,17.14,60,1,648.75,26025,1.75,1
733,5000,14.96,36,14,173.24,5000,16.17,0
734,18000,13.99,60,1,418.74,18000,16.97,1
735,5000,10.74,36,1,163.08,5000,8.31,1
736,17000,15.31,36,2,591.9,17000,13.06,1
737,3250,8,36,2,101.85,3250,10.26,1
738,2700,8.9,36,1,85.74,2700,29.08,1
739,8000,17.77,36,2,288.3,8000,18.58,1
740,3700,10.37,36,4,120.04,3700,11.8,1
741,7400,8,36,1,231.89,7400,13.43,1
742,5300,7.68,36,1,165.32,5300,0.58,1
743,5800,8.32,36,4,182.61,5800,0.72,1
744,18000,17.99,60,1,456.99,18000,21.16,0
745,20000,10.62,36,1,651.2,20000,19.2,1
746,5000,12.99,36,14,168.45,5000,17.02,0
747,5000,6.62,36,1,153.52,5000,20.19,0
748,11200,11.66,36,1,370.19,11200,17.78,0
749,2500,14.22,36,13,85.72,2500,0,0
750,8000,20.16,60,1,212.67,8000,11.26,1
751,2000,16,36,10,70.32,2000,2.55,0
752,3000,14.42,36,4,51.58,1500,19.85,1
753,16000,11.66,36,1,528.84,16000,13.47,1
754,20000,14.33,36,3,686.77,20000,24.81,0
755,12000,12.84,36,2,403.42,12000,11.21,0
756,7000,14.96,36,14,242.53,7000,9.65,0
757,5600,8.32,36,2,135.39,4300,17.04,1
758,6000,11.71,36,4,198.46,6000,2.4,0
759,8000,16.49,36,2,283.2,8000,24.82,0
760,3000,9.07,36,2,95.5,3000,3.03,0
