,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
1075,5000,8.59,36,1,158.06,5000,9.04,0
1076,7500,14.75,36,4,259.08,7500,20.4,1
1077,7500,13.16,36,3,253.28,7500,21.5,0
1078,14000,14.42,36,2,481.36,14000,13.75,0
1079,15000,13.99,36,2,512.6,15000,14.46,1
1080,7000,7.51,36,1,217.78,7000,21.27,0
1081,1500,13.48,36,14,50.89,1500,0.63,0
1082,12000,9.63,36,6,385.14,12000,15,0
1083,22000,7.88,36,1,688.19,22000,14.08,1
1084,18000,10.25,36,2,582.93,18000,6.85,0
1085,10000,14.22,36,5,342.85,10000,8.65,1
1086,10000,7.88,36,1,312.82,10000,9.37,1
1087,10000,8.88,60,1,207.01,10000,15.69,0
1088,11000,12.18,36,14,366.3,11000,9.38,1
1089,12000,11.71,36,1,396.92,12000,20.08,1
1090,12000,7.14,36,1,371.3,12000,16.2,0
1091,10000,14.59,36,2,344.65,10000,21.48,0
1092,6400,13.48,36,13,217.13,6400,8.11,1
1093,10000,7.49,36,2,311.02,10000,9.91,1
1094,5000,15.58,36,1,174.76,5000,13.68,0
1095,5000,17.99,36,4,180.74,5000,0.4,0
1096,3700,7.74,36,14,115.51,3700,22.99,1
1097,4000,7.88,36,13,125.13,4000,1.46,1
1098,18000,7.88,36,7,563.06,18000,14.72,1
1099,9000,7.14,36,1,278.48,9000,10.44,1
1100,8000,14.26,36,3,274.45,8000,21.88,0
1101,9800,13.11,36,1,330.7,9800,8.25,0
1102,9000,11.34,36,2,296.1,9000,11.68,0
1103,4750,14.96,36,14,164.57,4750,22.36,0
1104,2800,8,36,1,87.75,2800,2.43,1
1105,12500,15.31,36,1,435.22,12500,20.95,1
1106,5000,14.96,36,1,173.23,5000,13.68,0
1107,6000,8,36,1,188.02,6000,6.44,1
1108,2000,6.03,36,3,60.88,2000,3.42,1
1109,5000,11.48,36,1,164.85,5000,8.67,0
1110,35000,10.99,60,1,509.75,23450,9.82,1
1111,1500,11.48,36,14,49.46,1500,7.07,0
1112,24000,18.72,36,1,876.36,24000,19.8,0
1113,15000,11.72,36,1,496.22,15000,2.42,1
1114,6500,10.74,36,1,212.01,6500,6.8,1
1115,4000,10.99,36,14,130.95,4000,24.67,1
1116,15000,6.54,36,1,460.01,15000,9.47,1
1117,10800,7.51,36,5,336,10800,17.06,0
1118,4900,10.28,36,14,158.76,4900,15.3,0
1119,6000,10.59,36,1,195.27,6000,5.06,1
1120,9200,8.94,36,1,292.3,9200,18.17,1
1121,8000,15.31,36,1,278.53,8000,0.49,0
1122,5000,5.79,36,1,105.39,3475,6.06,1
1123,5000,10.08,36,1,161.53,5000,12.71,1
1124,3750,13.85,36,14,127.89,3750,20.16,1
1125,20000,16.49,60,5,491.59,20000,16.52,0
1126,25000,11.83,36,12,828.35,25000,4.87,1
1127,7500,9.45,36,12,240.08,7500,1.57,0
1128,12250,8.94,36,1,389.21,12250,12.6,1
1129,12000,16.32,60,4,293.87,12000,9.74,0
1130,13000,8.94,36,1,413.03,13000,8.77,1
1131,3200,15.28,36,14,111.37,3200,3.79,0
1132,24575,20.89,60,1,663.32,24575,22.99,0
1133,5000,12.73,36,14,167.84,5000,8.12,0
1134,15000,12.73,36,1,503.5,15000,18.96,0
1135,5000,10.38,36,5,162.23,5000,10.81,1
1136,6000,12.21,36,14,199.89,6000,6.27,0
1137,15000,11.14,36,4,492.06,15000,9.35,0
1138,3000,11.49,36,1,98.92,3000,1.46,1
1139,5425,14.54,36,3,186.84,5425,17.46,0
1140,13000,8.9,36,5,412.8,13000,14.21,1
1141,10000,12.99,36,14,336.9,10000,23.43,0
1142,2200,15.27,36,1,76.56,2200,5.47,0
1143,5500,21.28,60,1,149.67,5500,18.87,0
1144,11200,17.93,60,1,283.99,11200,9.47,0
1145,6000,12.87,36,1,201.8,6000,3.45,1
1146,7500,6.54,36,3,230.01,7500,9.66,1
1147,5000,12.87,36,14,168.17,5000,3,1
1148,13000,9.91,36,1,418.93,13000,23.71,0
1149,28000,15.31,60,1,670.69,28000,16.78,1
1150,4000,12.42,36,2,133.67,4000,19.64,1
1151,15700,19.42,60,1,258.46,9875,9.12,0
1152,6500,12.23,60,1,145.35,6500,18.99,0
1153,7800,15.99,36,1,274.19,7800,7.48,1
1154,2800,14.96,36,3,97.01,2800,20.95,1
1155,7000,10.08,36,14,122.76,3800,21.54,1
1156,2050,13.49,36,1,69.56,2050,22.84,0
1157,4800,15.23,36,8,166.94,4800,2.08,0
1158,10000,6.92,36,1,308.41,10000,10.54,1
1159,4750,13.61,60,1,109.57,4750,24.7,0
1160,7200,12.69,36,14,241.53,7200,20.19,0
1161,9000,15.37,36,13,313.62,9000,6.27,1
1162,7000,8.63,36,1,221.4,7000,2.74,1
1163,12000,14.65,36,1,413.94,12000,16.56,1
1164,12000,7.51,36,4,373.33,12000,8.39,1
1165,16000,13.23,36,1,540.88,16000,1.07,1
1166,20000,14.91,60,2,474.86,20000,10.14,1
1167,33000,17.99,60,1,837.81,33000,21.88,0
1168,6800,12.53,36,5,227.58,6800,4.1,0
1169,4000,14.42,36,11,137.54,4000,8.26,1
1170,10000,14.11,36,1,313.2,9150,24.34,0
1171,7200,7.51,36,1,224,7200,13.77,1
1172,9300,7.51,36,7,289.34,9300,24.51,0
1173,8000,13.72,36,1,272.34,8000,6.75,1
1174,6000,6.76,36,4,184.61,6000,5.32,1
1175,10000,7.51,36,5,311.11,10000,5.04,1
1176,12000,11.99,36,4,398.52,12000,1.31,1
1177,5000,13.06,36,1,168.62,5000,21.56,0
1178,2500,7.29,36,1,77.53,2500,15.95,0
1179,15000,9.88,36,1,483.16,15000,21.07,1
1180,20000,16.77,60,3,494.59,20000,9.65,0
1181,3000,13.98,36,1,102.51,3000,16.51,0
1182,8000,14.27,36,14,274.48,8000,3.37,0
1183,9325,15.81,36,1,326.97,9325,16.42,0
1184,13350,9.76,36,5,429.27,13350,21.89,0
1185,19000,17.27,36,2,679.96,19000,21.38,1
1186,2650,15.28,60,6,63.44,2650,18.14,1
1187,8000,15.21,60,1,191.21,8000,21.69,1
1188,15600,10.71,36,1,508.59,15600,14.58,0
1189,24000,20.5,36,1,898.06,24000,21.47,0
1190,15600,17.49,60,1,391.83,15600,15,0
1191,2500,14.27,36,1,85.78,2500,10.33,1
1192,20000,12.69,60,3,451.9,20000,4.9,0
1193,4475,9.99,36,3,144.38,4475,10.86,1
1194,9000,5.79,36,5,272.95,9000,1.91,1
1195,2500,12.84,36,8,84.05,2500,17.17,0
1196,14400,10.74,36,1,469.67,14400,12.2,1
1197,35000,13.99,60,14,814.21,35000,9.14,0
1198,2500,17.04,36,3,89.19,2500,13.66,1
1199,3000,5.99,36,6,91.26,3000,18.29,1
1200,4000,7.9,36,10,125.17,4000,9.13,1
1201,14000,9.99,36,1,451.68,14000,12.46,1
1202,18000,11.58,36,3,594.25,18000,16.78,0
1203,22250,11.11,36,3,729.6,22250,6.14,1
1204,3000,11.89,36,1,99.5,3000,19.06,0
1205,15000,10.2,36,3,485.42,15000,7.93,0
1206,8000,13.49,36,1,271.45,8000,14.92,0
1207,15000,15.68,36,14,525.03,15000,2.68,1
1208,4000,11.89,36,1,132.66,4000,5.81,1
1209,3900,5.99,36,2,118.63,3900,4.53,1
1210,10000,13.49,36,1,339.31,10000,13.95,0
1211,17600,20.85,60,1,474.66,17600,8.77,1
1212,3500,13.72,36,5,119.15,3500,15.58,0
1213,5750,8,36,2,180.19,5750,2.59,1
1214,14000,11.99,60,1,311.36,14000,5.55,0
1215,17600,8.94,36,2,559.18,17600,12.34,0
1216,12500,9.63,36,1,401.18,12500,2.83,1
1217,10000,20.89,36,1,376.19,10000,4.32,0
1218,8000,14.96,36,4,277.16,8000,4.46,0
1219,30600,12.12,60,8,682.54,30600,7.03,1
1220,10600,15.65,60,1,255.81,10600,22.5,1
1221,25000,12.12,60,1,557.63,25000,17.11,0
1222,2200,17.49,60,4,55.26,2200,24.78,1
1223,12000,8.07,36,12,376.43,12000,8.88,1
1224,4750,14.59,36,3,163.71,4750,11.92,0
1225,1000,11.89,36,14,33.17,1000,5.57,1
1226,2925,10.71,36,1,95.36,2925,6.62,1
1227,12000,15.23,60,5,286.93,12000,8.39,1
1228,17000,11.14,36,1,557.66,17000,6.65,0
1229,35000,14.54,60,3,824.23,35000,13.73,0
1230,7400,7.51,36,1,230.23,7400,11.12,0
1231,5000,7.88,60,14,101.1,5000,5.91,1
1232,4750,13.85,36,14,162,4750,11.64,0
1233,5000,12.41,36,2,167.06,5000,23.88,0
1234,5000,19.47,36,3,184.49,5000,1.78,0
1235,10000,12.62,60,1,225.6,10000,8.29,1
1236,6000,15.37,36,5,209.08,6000,3.3,1
1237,6000,10.99,60,7,130.43,6000,8.27,1
1238,8000,20.9,60,1,215.98,8000,20.4,0
1239,12000,12.53,36,1,401.6,12000,18.89,1
1240,10200,17.88,60,14,258.35,10200,18.48,0
1241,8050,11.11,60,1,175.47,8050,20.19,0
1242,8000,11.46,36,1,263.66,8000,21.72,0
1243,12000,10.37,36,4,389.3,12000,6.76,1
1244,10000,19.41,60,1,261.67,10000,12.53,0
1245,8400,10.74,36,5,273.98,8400,18.93,1
1246,25000,16.32,36,1,882.89,25000,22.48,0
1247,5000,9.88,36,1,161.06,5000,14.34,0
1248,7500,11.59,36,14,247.65,7500,13.91,1
1249,24000,9.76,36,2,771.72,24000,20.02,1
1250,20000,13.11,60,1,456.19,20000,19.93,1
1251,2400,7.9,36,2,75.1,2400,14.73,1
1252,16000,14.26,36,1,548.9,16000,14.67,0
1253,8000,12.84,36,7,268.95,8000,16.73,1
1254,15250,11.99,60,1,339.16,15250,26.08,0
1255,10000,13.11,36,5,337.47,10000,21.65,0
1256,25000,15.58,36,1,774.15,22150,14.43,0
1257,9000,9.63,36,13,288.85,9000,18.66,0
1258,10000,14.26,36,1,343.06,10000,13.49,0
1259,8000,16.29,36,14,282.41,8000,9.5,0
1260,4000,13.92,36,4,136.55,4000,18.45,1
1261,3000,11.14,36,1,98.42,3000,17.29,1
1262,9300,19.72,36,10,344.3,9300,24.9,0
1263,7200,13.47,36,1,244.25,7200,12.83,1
1264,1500,15.23,36,1,52.17,1500,19.67,1
1265,7000,7.66,36,2,218.26,7000,3.78,0
1266,6000,14.61,36,1,206.86,6000,12.95,0
1267,6500,6.54,36,1,199.34,6500,8.48,0
1268,13600,16.32,36,1,480.29,13600,8.69,1
1269,14500,5.42,36,5,437.32,14500,10.1,1
1270,1500,13.16,36,13,50.66,1500,17.26,0
1271,10875,12.84,36,2,365.6,10875,13.76,0
1272,11500,12.53,36,1,384.87,11500,15.91,1
1273,10000,15.58,36,1,349.51,10000,13.75,1
1274,10000,12.12,36,2,332.72,10000,16.47,0
1275,5600,10.95,36,12,183.2,5600,10.56,0
1276,8000,11.49,36,5,263.78,8000,19.9,1
1277,15000,11.14,36,5,492.06,15000,13.98,1
1278,13750,13.22,36,1,464.76,13750,24.03,0
1279,3000,8.9,36,2,95.26,3000,25.87,1
1280,12000,13.35,36,1,406.36,12000,12.51,1
1281,25000,18.3,36,1,907.6,25000,15.2,0
1282,12000,7.88,36,2,375.38,12000,9.57,1
1283,5000,12.61,36,1,167.54,5000,9.36,1
1284,15000,15.99,60,1,364.7,15000,20.18,0
1285,7500,13.24,36,1,253.58,7500,13.44,1
1286,12000,10.62,36,1,390.72,12000,18.17,0
1287,10500,9.38,36,3,335.76,10500,6.41,0
1288,12800,13.49,60,1,294.47,12800,26.43,0
1289,5000,9.32,36,5,159.74,5000,8.45,1
1290,18000,14.17,60,3,420.42,18000,15.89,1
1291,4800,18.39,60,14,122.91,4800,11.87,0
1292,6000,10.39,36,8,194.71,6000,17.47,1
1293,4000,7.88,36,14,125.13,4000,7.27,1
1294,10000,12.61,36,1,335.07,10000,20.88,0
1295,7000,8,36,4,219.36,7000,0,0
1296,1000,9.99,36,10,32.27,1000,22.02,1
1297,3000,11.36,36,1,98.74,3000,1.48,1
1298,17000,9.99,60,1,320.76,15100,23.06,1
1299,9600,18.55,60,1,246.66,9600,15.23,1
1300,5000,14.22,36,1,171.43,5000,16.04,1
1301,22000,12.23,60,1,297.4,13300,5.21,0
1302,25000,13.49,36,1,848.27,25000,19.35,1
1303,20000,13.85,36,1,682.08,20000,18.63,0
1304,28000,20.5,36,1,1047.73,28000,14.56,0
1305,11200,13.16,36,3,378.23,11200,4.25,0
1306,4000,7.49,36,5,124.41,4000,5.7,1
1307,35000,7.49,36,1,1088.56,35000,13.62,0
1308,3625,10.59,36,7,117.98,3625,13.3,0
1309,10000,10.75,60,14,216.18,10000,6.98,0
1310,7000,14.09,36,1,239.55,7000,15.18,1
1311,7200,14.96,36,14,249.46,7200,10.08,0
1312,4650,13.67,36,1,158.19,4650,16.23,1
1313,27600,11.71,60,3,609.91,27600,17.45,0
1314,16000,12.68,36,1,536.65,16000,9.99,1
1315,10000,9.63,36,1,320.95,10000,15.88,0
1316,15000,11.58,36,5,495.21,15000,4.8,1
1317,5000,11.78,36,2,165.55,5000,22.49,0
1318,7400,13.11,36,2,249.72,7400,5.38,1
1319,4000,14.22,36,1,137.14,4000,10.77,0
1320,8000,14.59,36,1,275.72,8000,11.59,0
1321,6000,15.96,36,1,210.83,6000,17.13,1
1322,20000,11.58,36,2,660.27,20000,3.93,0
1323,4000,6.17,36,10,122,4000,8.91,0
1324,20000,18.62,36,1,729.29,20000,12.62,0
1325,6400,14.22,36,1,219.42,6400,0.57,0
1326,20000,19.91,60,1,477.98,18075,17.49,0
1327,20000,14.61,36,1,689.51,20000,14.84,1
1328,3075,14.33,36,1,105.59,3075,16.4,0
1329,3200,5.99,36,5,97.34,3200,16.76,0
1330,21000,11.71,60,1,464.07,21000,6.62,0
1331,8000,16.77,36,1,284.31,8000,13.2,0
1332,12500,10.25,36,1,404.81,12500,9.46,1
1333,10000,6.03,36,3,304.36,10000,28.42,0
1334,8550,14.3,36,1,293.47,8550,18.14,0
1335,2675,8.07,36,2,83.92,2675,16.68,1
1336,25000,10.71,36,2,815.04,25000,11.86,0
1337,6000,7.68,36,14,187.14,6000,2.54,1
1338,2650,7.4,36,14,82.31,2650,1.2,0
1339,15600,7.9,36,7,488.13,15600,20.4,1
1340,15000,13.67,36,1,510.27,15000,11.39,0
1341,18000,11.78,36,1,595.97,18000,17.43,1
1342,20000,8.9,36,4,635.07,20000,4.87,0
1343,3325,16.32,36,1,117.43,3325,5.06,0
1344,5000,13.11,36,6,168.74,5000,9.95,1
1345,3500,11.86,36,1,116.02,3500,5.89,0
1346,20000,14.35,36,7,686.96,20000,9.77,0
1347,3000,5.79,36,4,90.99,3000,17.6,1
1348,10000,11.36,36,1,329.12,10000,11.77,1
1349,26000,18.25,60,4,663.78,26000,3.93,1
1350,8000,17.49,36,1,287.18,8000,5.51,0
1351,12000,5.42,36,1,361.92,12000,4.41,1
1352,7200,13.67,36,1,244.93,7200,1.78,1
1353,16000,18.55,36,2,582.87,16000,8.58,1
1354,4000,5.42,36,1,120.64,4000,13.99,0
1355,12000,14.96,36,1,415.76,12000,10.63,0
1356,10200,9.63,36,3,327.37,10200,15.46,1
1357,10000,15.33,36,7,348.29,10000,9.82,1
1358,12000,11.83,36,14,397.61,12000,18.9,0
1359,7725,13.75,36,1,263.09,7725,9.8,0
1360,16800,7.9,60,1,339.84,16800,17.95,1
1361,22000,12.61,60,1,496.19,22000,14.03,0
1362,21600,17.27,36,5,773.01,21600,10.85,0
1363,5600,10.75,36,6,182.68,5600,18.96,1
1364,5000,6.62,36,3,153.52,5000,4.32,0
1365,14500,13.16,36,1,317.44,9400,24.31,0
1366,6000,18.67,60,6,154.56,6000,8.05,0
1367,10000,14.54,36,1,344.41,10000,25.27,0
1368,3500,10.65,36,10,114.01,3500,16.49,0
1369,10000,15.27,36,2,347.98,10000,10,0
1370,7175,7.49,36,7,223.16,7175,29.29,0
1371,3000,6.17,36,5,91.5,3000,0.9,0
1372,14000,10.37,36,1,454.18,14000,19.15,1
1373,24575,17.51,60,1,617.52,24575,23.18,0
1374,14000,12.12,36,1,465.81,14000,28.66,1
1375,14600,13.06,60,1,332.65,14600,23.02,1
1376,5000,6.99,36,1,154.37,5000,17.65,1
1377,3000,10.37,36,3,97.33,3000,3.34,0
1378,5000,5.42,36,1,150.8,5000,3.61,1
1379,9000,10,36,2,290.41,9000,14.03,1
1380,12000,6.91,36,1,370.04,12000,18.1,0
1381,24500,10.99,36,1,802.01,24500,12.8,0
1382,5600,10.74,36,1,182.65,5600,11.56,0
1383,10000,13.99,36,1,341.73,10000,10.03,1
1384,2500,8.49,36,5,78.91,2500,17.87,0
1385,10000,9.76,36,7,321.55,10000,9.92,1
1386,7200,11.71,36,1,238.15,7200,22.06,0
1387,10000,18.39,60,5,256.07,10000,13.86,1
1388,12000,7.51,36,1,373.33,12000,18.61,1
1389,7750,14.59,36,1,267.11,7750,24.99,0
1390,10000,13.43,36,7,339.02,10000,3.92,0
1391,25000,14.11,36,1,855.73,25000,11.67,1
1392,15000,15.99,60,1,364.7,15000,11.85,0
1393,32350,18.64,60,1,832.79,32350,22.9,0
1394,16000,11.71,36,1,529.22,16000,19.32,0
1395,6000,9.76,36,14,192.93,6000,12.32,0
1396,13200,19.72,36,14,488.68,13200,7.59,1
1397,10000,15.21,36,5,347.69,10000,23.47,1
1398,6000,7.51,36,2,186.67,6000,0.88,1
1399,5500,11.11,36,2,180.35,5500,16.52,0
1400,5000,12.53,36,12,167.34,5000,11.81,1
1401,19200,12.87,36,2,645.76,19200,10.93,0
1402,12000,11.14,36,4,393.65,12000,17.82,0
1403,25000,18.62,60,1,643.3,25000,17.93,0
1404,10000,5.99,36,11,304.18,10000,5.88,1
1405,10200,13.92,36,1,348.2,10200,19.75,1
1406,5600,13.79,36,1,190.83,5600,12.89,0
1407,2400,7.88,36,1,75.08,2400,14.68,1
1408,23500,11.36,36,2,773.38,23500,19.72,0
1409,3000,11.99,36,1,99.63,3000,14.27,0
1410,1600,13.57,36,14,54.35,1600,21.46,0
1411,16000,13.98,36,1,546.69,16000,16.94,0
1412,7200,11.86,36,1,238.67,7200,18.86,0
1413,8450,13.49,60,4,194.39,8450,12.73,0
1414,8000,7.88,36,7,250.25,8000,12.24,1
1415,4500,9.76,36,1,144.7,4500,4.24,0
1416,10000,11.14,36,14,328.04,10000,22.08,1
1417,10000,13.43,36,5,339.02,10000,4.76,0
1418,6000,5.79,36,1,181.97,6000,4.26,0
1419,3200,13.22,36,5,108.17,3200,12.08,1
1420,10000,8.94,36,14,317.72,10000,13.34,0
1421,27000,7.9,36,1,844.84,27000,15.39,0
1422,15000,11.14,36,5,492.06,15000,3.76,0
1423,18000,19.05,60,1,467.43,18000,25.77,1
1424,1325,12.87,36,12,44.57,1325,19.29,0
1425,25000,12.98,60,2,568.58,25000,3.47,1
1426,5000,11.48,36,6,164.85,5000,9.92,0
1427,25000,9.01,36,3,795.11,25000,3.83,0
1428,3600,16.4,60,1,88.32,3600,20.26,0
1429,9375,11.71,36,1,310.09,9375,19.88,0
1430,6500,11.34,36,2,213.85,6500,12.95,1
1431,20000,13.67,60,1,461.96,20000,22.17,1
1432,3000,5.79,36,6,90.99,3000,7.64,1
1433,3500,15.58,36,1,122.33,3500,9.95,0
1434,3200,12.99,36,1,107.81,3200,17.54,1
1435,10600,12.99,36,1,357.11,10600,19.58,0
1436,13175,11.99,60,3,293.01,13175,9.77,0
1437,12000,10.38,36,2,389.36,12000,11.07,1
1438,5250,13.99,36,14,179.41,5250,7.06,1
1439,15000,12.84,36,2,504.27,15000,6.65,1
1440,14000,14.26,36,1,480.29,14000,20.04,0
1441,12000,10.38,36,5,389.36,12000,6.51,0
1442,6450,10.37,36,1,209.25,6450,2.42,1
1443,8000,7.9,36,1,250.33,8000,14.35,1
1444,20000,6.91,36,1,616.72,20000,24.65,1
1445,20000,20.25,60,5,532.67,20000,0.29,1
1446,3000,7.51,36,4,93.34,3000,15.07,1
1447,16000,6.03,36,1,486.97,16000,1.36,1
1448,11225,12.92,36,1,377.79,11225,23.31,0
1449,4000,7.14,36,14,123.77,4000,3.11,1
1450,15000,16.32,60,1,367.33,15000,15.65,0
1451,11000,8.94,36,1,349.49,11000,16.7,1
1452,25000,19.66,60,1,505.06,19200,21.33,0
1453,2125,12.99,36,1,71.59,2125,8.14,1
1454,8500,6.76,36,1,261.53,8500,5.75,1
1455,32400,22.85,60,1,744.77,26500,14.11,0
1456,8550,10.25,36,1,276.89,8550,18.89,0
1457,9700,13.61,36,1,329.69,9700,22.92,1
1458,10750,16,36,2,377.95,10750,21.93,1
1459,11000,10.75,60,2,237.8,11000,22.92,0
1460,12000,10.62,36,1,390.72,12000,11.97,0
1461,5000,14.27,60,4,117.05,5000,12.85,0
1462,14400,7.88,36,5,450.44,14400,1.91,1
1463,4800,12.12,36,1,159.71,4800,5.12,1
1464,15000,11.12,36,4,491.94,15000,9.54,0
1465,1500,12.53,36,14,50.2,1500,20.75,0
1466,10000,12.61,36,1,335.07,10000,18.64,0
1467,4800,8,36,6,150.42,4800,17.81,1
1468,12000,11.49,60,1,263.86,12000,13.93,1
1469,14000,18.25,36,2,507.9,14000,27.82,0
1470,2500,15.65,36,14,87.47,2500,20.02,1
1471,15000,18.25,36,14,544.17,15000,17.2,0
1472,8000,12.53,36,2,267.74,8000,10.37,0
1473,14000,18.62,60,3,360.25,14000,18.41,0
1474,10000,16,36,1,351.58,10000,21.01,0
1475,20000,15.58,60,1,328.31,13625,17.54,0
1476,25000,20.5,60,10,669.33,25000,7.71,1
1477,12250,15.33,60,1,293.56,12250,22.89,0
1478,21000,17.27,60,2,524.96,21000,24.28,1
1479,20000,11.36,36,14,658.23,20000,16.69,0
1480,9800,13.79,36,1,333.94,9800,23.92,0
1481,9000,11.71,36,1,297.69,9000,19.22,0
1482,3000,10.62,36,14,97.68,3000,8.91,0
1483,23975,22.35,60,2,666.95,23975,22.8,1
1484,15000,9.63,36,1,481.42,15000,24.5,1
1485,21725,12.99,60,4,494.2,21725,14.67,1
1486,23500,14.26,36,1,806.19,23500,24.88,1
1487,10000,7.14,36,2,309.42,10000,8.2,1
1488,5000,15.37,36,4,174.24,5000,8.91,1
1489,13000,10.36,60,1,211.04,9850,23.46,0
1490,3000,13.11,36,14,101.25,3000,21.56,0
1491,20000,13.92,36,1,682.74,20000,24.94,1
1492,5000,12.12,60,14,111.53,5000,15.96,0
1493,10000,8.94,36,1,317.72,10000,5.6,0
1494,25000,13.11,60,1,376.93,16525,23.72,0
1495,14000,7.66,36,1,436.52,14000,12.19,1
1496,10000,15.99,60,1,243.13,10000,24.39,0
1497,5000,13.79,36,4,170.38,5000,24.07,0
1498,25000,11.86,60,1,377.51,17025,3.09,0
1499,4000,5.42,36,5,120.64,4000,11.63,0
1500,6000,7.9,36,1,187.75,6000,16.58,1
1501,4000,7.14,36,6,123.77,4000,0.68,1
1502,15000,16.35,36,14,529.94,15000,19.33,0
1503,12000,13.06,60,3,273.41,12000,17.55,1
1504,10000,13.48,36,1,339.25,10000,18.26,0
1505,27600,20.5,60,1,738.94,27600,24.98,1
1506,5000,6.76,36,1,153.85,5000,11.33,1
1507,25000,11.58,36,7,825.34,25000,5.88,0
1508,5000,12.23,36,2,166.63,5000,16.27,0
1509,1200,13.99,36,5,41.01,1200,7.74,0
1510,15000,15.58,36,1,524.26,15000,4.58,0
1511,8500,11.14,36,2,278.83,8500,9.81,1
1512,8475,15.27,36,1,294.92,8475,24.02,0
1513,2800,15.31,36,6,97.49,2800,6.8,1
1514,9600,11.26,36,1,315.49,9600,18.31,1
1515,20000,19.22,36,1,735.35,20000,18.4,0
1516,4375,10.74,36,1,142.7,4375,9.98,1
1517,35000,12.12,60,4,780.68,35000,8.08,0
1518,4000,14.65,36,1,137.98,4000,23.59,1
1519,4000,13.22,36,1,135.21,4000,14.13,1
1520,12000,11.36,36,1,394.94,12000,17,0
1521,3250,7.75,36,1,101.47,3250,2.73,0
1522,2100,9.91,36,1,67.68,2100,19.63,0
1523,8500,12.53,36,1,284.47,8500,9.27,0
1524,15250,11.14,36,1,500.26,15250,8.69,1
1525,22250,20.48,60,3,595.45,22250,20.66,0
1526,10000,11.49,36,3,329.72,10000,13.46,0
1527,10000,14.27,36,1,343.09,10000,15.58,1
1528,20000,12.29,36,14,667.06,20000,13.5,0
1529,20000,16.7,36,1,710.03,20000,20.94,1
1530,14000,13.49,36,2,475.03,14000,11.64,1
1531,6400,15.96,36,2,224.88,6400,17.43,1
1532,2000,8.59,36,6,63.23,2000,8.7,0
1533,19750,21.21,36,1,746.24,19750,19.87,0
1534,9600,15.96,36,2,337.32,9600,13.89,0
1535,2000,11.49,36,14,65.95,2000,4.1,0
1536,3600,16.02,36,14,126.61,3600,2.87,0
1537,13000,18.25,36,2,471.62,13000,7.05,0
1538,5000,12.12,36,5,166.36,5000,24.6,0
1539,11000,7.29,36,2,341.11,11000,11.5,1
1540,6500,15.65,36,10,227.41,6500,13.16,0
1541,22800,13.49,36,3,773.62,22800,18.58,0
1542,16500,11.71,36,6,545.76,16500,23.44,1
1543,2400,13.98,36,1,82.01,2400,13.35,1
1544,10000,12.68,60,2,225.9,10000,25.79,1
1545,17750,20.3,60,1,473.24,17750,13.73,0
1546,12000,9.62,60,3,252.73,12000,14.12,0
1547,1000,13.16,36,14,33.78,1000,19.63,1
1548,26000,10.99,60,5,377.69,17375,7.57,1
1549,18225,12.69,60,1,411.79,18225,17.19,0
1550,18500,12.18,36,1,616.05,18500,2.38,1
1551,20000,11.26,36,3,200.47,6100,15.02,0
1552,5000,9.63,36,14,160.48,5000,16.17,1
1553,1800,10.2,36,5,58.26,1800,11.09,1
1554,2500,7.74,36,14,78.05,2500,0.78,1
1555,16000,11.89,36,4,530.63,16000,5.23,1
1556,5500,11.89,36,10,182.41,5500,14.67,1
1557,15000,11.03,36,1,491.3,15000,9.52,0
1558,8000,13.48,36,1,271.4,8000,9.76,0
1559,25000,11.49,60,6,549.69,25000,6.04,1
1560,6400,10.99,36,7,209.5,6400,20.8,1
1561,10000,7.51,36,1,311.1,10000,10.8,0
1562,5000,19.16,36,3,183.69,5000,22.59,0
1563,2400,6.92,36,1,74.02,2400,22.3,0
1564,3000,10.95,36,4,98.15,3000,7.4,0
1565,24000,17.19,36,1,857.94,24000,11.84,0
1566,5000,6.91,36,1,154.18,5000,24.84,1
1567,20000,17.04,36,3,713.49,20000,12.65,1
1568,2200,13.48,36,1,74.64,2200,5.04,0
1569,8500,13.22,36,4,287.31,8500,13.67,0
1570,4000,11.36,36,4,131.65,4000,10.53,0
1571,21000,12.18,36,14,699.3,21000,4.84,0
1572,7500,13.49,36,2,254.48,7500,9.58,0
1573,10000,14.65,36,14,344.95,10000,5.91,1
1574,14000,14.84,36,1,484.22,14000,13.18,1
1575,5000,11.71,36,1,165.38,5000,19.15,0
1576,7000,8.94,36,14,222.41,7000,12.17,0
1577,5000,14.79,36,1,172.82,5000,17.2,1
1578,16500,18.25,60,1,421.24,16500,17.64,0
1579,3300,11.97,36,2,109.56,3300,17.4,0
1580,8000,12.04,36,1,265.87,8000,16.06,1
1581,14400,13.98,60,1,212.23,9125,22.57,1
1582,10000,10.59,36,7,325.45,10000,14.75,0
1583,2000,6.99,36,14,61.75,2000,9.99,0
1584,3500,13.49,36,14,118.76,3500,21.48,1
1585,6250,14.96,36,1,216.54,6250,20.69,0
1586,24000,6.62,36,1,736.89,24000,4.06,1
1587,15500,10.65,60,1,334.31,15500,8.92,1
1588,5600,14.22,36,7,192,5600,24.82,0
1589,35000,18.79,60,1,552.02,21375,20.65,0
1590,5600,14.91,36,1,193.88,5600,12.85,0
